Partner Skill,Description,Pal
Aerial Marauder,Increases the player's damage dealt to enemy weak points while mounted.,Vanwyrm
Aerial Missile,Allows you to mount Jetragon and have it fire a series of homing missiles while mounted.,Jetragon
Amicable Holy Dragon,"While Elphidran is your active Pal, it increases the amount of items Dark Pals drop when defeated.",Elphidran
Amicable Water Dragon,"While Elphidran Aqua is your active Pal, it increases the amount of items Fire Pals drop when defeated.",Elphidran Aqua
Angry Shark,Unleashes a powerful attack when activated. Passively powers up the player's attack while this Pal is in the party.,Gobfin
Antigravity,Increases the player's max carrying capacity by a moderate amount while Lunaris is on the team.,Lunaris
Aqua Spout,"While Kelpsea is in your party, the attack of your active Water Pal is increased.",Kelpsea
Aurora Guide,"While Foxcicle is in your party, the attack of your Ice Pals is powered up.",Foxcicle
Berry Picker,"When assigned to the Ranch, Caprity produces Berries.",Caprity
Black Ankylosaur,Improves the player's mining efficiency while riding Astegon.,Astegon
Black Hare,Increases the player's attack significantly and changes the player's damage type to Dark while mounting Pyrin Noct.,Pyrin Noct
Black Steed,Converts the player's attacks to deal Dark damage instead and increases the Dark damage dealt by the player and Frostallion Noct while mounted. Enables Frostallion Noct to be mounted.,Frostallion Noct
Blessing of the Flower Spirit,Petallia heals the player for a set amount per level when activated.,Petallia
Brandish Blade,Bushi dashes towards a target Pal and performs a powerful slash.,Bushi
Brave Sailor,"While Penking is your active Pal, it increases the amount of items Fire Pals drop when defeated.",Penking
Caffeine Inoculation,Depresso gains a sudden burst of energy which increases its movement speed. The movement speed bonus increases for each level Caffeine Inoculation.,Depresso
Candy Pop,"When assigned to the Ranch, Woolipop produces Cotton Candy.",Woolipop
Cat Helper,Increases the player's max carrying capacity by a small amount while Cattiva is on the team.,Cattiva
Cheery Rifle,"Tanzee arms itself with an assault rifle and shoots enemies in range, dealing neutral element damage for the skill's duration.",Tanzee
Claws Glistening in the Dark,Loupmoon leaps and attacks the target enemy.,Loupmoon
Clear Mind,Increases base mount speed and enables mounting for Kitsun. Ignores cold and hot environment effects while mounted.,Kitsun
Cold Bomb,"Equips Jolthog Cryst in the player's hand. When thrown, it creates a large cold explosion on impact, dealing damage and freezing enemies hit, making them easier to catch. The damage increases for each level of Cold Bomb.",Jolthog Cryst
Cool Body,Increases base mount speed and enables mounting for Reindrix. Keeps the rider cool in hot environments.,Reindrix
Dark Knight of the Abyss,Increases base mount speed and enables mounting for Necromus. Allows Necromus to double jump while mounted.,Necromus
Dark Knowledge,"While Hoocrates is in your party, your active Dark Pal's attack is increased. The bonus damage is increased per level of Dark Knowledge.",Hoocrates
Darkclaw Hunter,"Incineram Noct attacks the target enemy with the Hellfire Claw skill, damaging and burning the enemy.",Incineram Noct
